attr_id,addt_data,attribute,description,field_tag,config_id,endpoint_id
1,N,stan,,11,2,
2,N,mti,,0,2,
3,N,rrn,,37,2,
4,N,amount,,4,2,
5,N,acct1,,102,2,
6,N,acct2,,103,2,
7,N,acqInstId,,32,2,
8,N,issInstId,,126,2,
9,N,desInstId,,127,2,
10,N,feeAmount,,8,2,
11,N,acctBalance,,54,2,
12,N,bitmap,,1,2,
13,N,captDate,,17,2,
14,N,currency,,49,2,
15,N,hpan,,2,2,
16,N,prcCode,,3,2,
17,N,postDataCode,,22,2,
18,N,merchantType,,18,2,
19,N,terminalId,,41,2,
20,N,terminalAddress,,43,2,
21,N,tTime,,12,2,
22,N,uDate,,13,2,
23,N,transType,,3.1,2,
24,N,respCode,,,,
25,N,mtiResp,,0,2,
26,Y,testong33,testong33,33,2,
27,Y,customer,naon,12,2,
28,N,sysdate,,,,
56,N,respCodeDesc,,,,
111,N,extRespCode,,,,
213,Y,syssec,,syssec,,
212,Y,syshour,,syshour,,
211,Y,sysday,,sysday,,
214,N,transTypeDesc,,,,
